"Please choose area for shipping", "Vui lòng lựa chọn khu vực giao hàng"
"Area does not exists", "Mã vùng không tồn tại"
"Choose Area", "Chọn khu vực"
"You are viewing products in %1 area", "Bạn đang xem hàng ở khu vực : %1"
"Change Area Shipping", "Thay đổi khu vực"
"Available Stock", "Hàng sẵn có tại"
"Warning!", "Cảnh báo!"
"When you change the area, the item in the cart will be deleted", "Khi bạn thay đổi khu vực giao hàng, tất cả các sản phẩm trong giỏ hàng sẽ bị xóa"
"This product is out of stock in the area.", "Sản phẩm đang hết hàng trong khu vực của bạn"
"Some of the products are out of stock in the area.", "Một vài sản phẩm đang hết hàng trong khu vực của bạn"
