"This phone number is already being used.","This phone number is already being used."
"Address Book", "Address Book"
"Change Password","Change Password"
"Stored Payment Methods","Stored Payment Methods"
"Profile account","Profile account"
"My Orders","My Orders"
"My Wish List","My Wish List"
"Purchase Order","Purchase Order"
"Notifications","Notifications"
"Discount And Point", "Discount And Point"
"Invalid login or password.","Invalid login or password."
"Email Or Telephone","Email Or Telephone"
"If you have an account, sign in with your email address or your telephone number.","If you have an account, sign in with your email address or your telephone number."
"Login Customer With Telephone","Login Customer With Telephone"
"Customer will login with email or telephone.","Customer will login with email or telephone."
"You have no other address entries in your address book.","You have no other address entries in your address book."
"You deleted the address.","You deleted the address."
