"This phone number is already being used.","Số điện thoại đã được đăng ký bởi tài khoản khác."
"Address Book", "Địa chỉ"
"Change Password","Đổi mật khẩu"
"Stored Payment Methods","Ngân hàng"
"Profile account","Tài khoản hồ sơ"
"My Orders","Đơn mua"
"My Wish List","Sản phẩm yêu thích"
"Purchase Order","Đơn hàng"
"Notifications","Thông báo"
"Discount And Point", "Ưu đãi và điểm thưởng"
"Email Or Telephone","Email Hoặc Số Điện Thoại"
"If you have an account, sign in with your email address or your telephone number.","Nếu bạn đã có tài khoản, đăng nhập với email hoặc số điện thoại của bạn"
"Login Customer With Telephone","Đăng nhập với số điện thoại"
"Customer will login with email or telephone.","Khách hàng sẽ đăng nhập bằng email hoặc số điện thoại"
"You have no other address entries in your address book.","Bạn không có mục địa chỉ nào khác trong sổ địa chỉ của mình."
"You deleted the address.","Bạn đã xóa địa chỉ thành công"
"Please enter a valid email address or a valid phone number", "Tên tài khoản của bạn hoặc Mật khẩu không đúng, vui lòng thử lại"
"Please enter a valid email address", "Vui lòng nhập địa chỉ email hợp lệ"
"Please enter your email or telephone", "Vui lòng nhập số điện thoại hoặc email của bạn"
"Please enter your password", "Vui lòng nhập mật khẩu của bạn"
"Please enter your confirm password", "Vui lòng nhập lại mật khẩu của bạn"
"Please enter your email", "Vui lòng nhập email của bạn"
"Please enter your telephone", "Vui lòng nhập số điện thoại của bạn"
"You are signed out", "Bạn đã đăng xuất thành công"
"You have signed out and will go to our homepage in 5 seconds.", "Bạn đã đăng xuất và website sẽ chuyển đến trang chủ sau 5 giây."
"""%1"" is a required value.","""%1"" là một trường bắt buộc."
