"You submitted your review for moderation.", "Bạn đã gửi đánh giá của mình. Vui lòng chờ kiểm duyệt"
"Summary", "Cảm Nhận"
"Pros", "Ưu Điểm"
"Cons", "Nhước Điểm"
"External Links", "Liên kết bổ sung"
"Upload Image", "Gửi hình chụp thực tế"
"Upload Video", "Gửi video quay thực tế"
"Verified purchase", "Xác nhận đã mua hàng"
"Posted on", "Đăng tải lúc"
"You're reviewing:", "Bạn đang đánh giá"
"Reviews %1", "Đánh giá %1"
"Reviews %1", "Đánh giá %1"
"Comments","Bình luận"
"With Images (%1)", "Có hình ảnh (%1)"
"All (%1)", "Tất cả (%1)"
"%1 Start (%2)", "%1 Sao (%2)"
"Sort by date", "Sắp xếp theo ngày"
"Sort by ratings", "Sắp xếp theo thứ hạng đánh giá"
"High to Low", "Từ cao đến thấp"
"Low to High", "Từ thấp đến cao",
"Filter", "Lọc"
"Only accept png, jpeg, jpg, gif extension!", "Chỉ chấp nhận các file có phẩn mở rộng là: png, jpeg, jpg, gif"
"Make sure your file isn't more than {size}M.", "Hãy đảm bảo file bạn tải lên không lớn hơn {size}M."
"Make sure your file isn't more than %1MB.","Hãy đảm bảo file bạn tải lên không lớn hơn %1MB."
"Recommended", "Hữu ích"
"View link", "Xem thêm thông tin bổ sung"
"Response from store", "Phản hồi từ cửa hàng"
"Share Twitter": "Chia sẻ Twitter"
"Share", "Chia sẻ"
"No image chosen", "Không hình ảnh nào được chọn"
"No video chosen", "Không video nào được chọn"
"No file chosen", "Không tệp nào được chọn"
"Choose Image", "Tải lên hình ảnh"
"Your Rating", "Đánh giá của bạn về sản phẩm"
"Please enter a review summary.", "Vui lòng nhập tóm tắt đánh giá."
"Please enter a review.", "Vui lòng nhập đánh giá."
"* Required Fields", "* Trường bắt buộc"
"Write Your Own Review", "Để lại đánh giá của bạn"
"Nickname", "Biệt danh"
"Review", "Đánh giá"
"Choose File": "Tải lên hình ảnh"
"Submit Review", "Gửi đánh giá"
"You have submitted no reviews.", "Bạn chưa thực hiện đánh giá sản phẩm nào."
"Chooose Summary", "Lựa chọn cảm nhận"
"Please select one of each of the ratings above.", "Vui lòng đánh giá mức độ hài lòng của bạn cho sản phẩm."
"Thank you for rating!", "Cảm ơn bạn đã đánh giá!"
"Summary Label", "Nhãn Cảm nhận"
"Reviewed", "Đã đánh giá"
"Not Yet Review", "Chưa đánh giá"
"Only accept mp4 extension!","Trang chỉ support video định dạng mp4"
