"Redeem Reward Points","Đổi điểm thưởng"
"Reward Program(s)", "Chương trình điểm thưởng"
"You have","Bạn có"
"points.","điểm"
"You can apply maximum","Bạn có thể áp dụng tối đa"
"points for this order.","điểm cho đơn đặt hàng này."
"point(s) can be redeemed for 1", "điểm có thể đổi lấy 1"
"Every","Mọi"
"point(s)","Điểm"
"can be redeemed for","có thể được đổi cho""
"Enter point quantity","Nhập số lượng điểm"
"Discount %","Giảm giá %"
"Add Rule","Thêm quy tắc"
"Sharing","Chia sẻ"
"Benefits","Lợi ích"
"Requirements","Yêu cầu"
"How can you earn more points","Làm thế nào bạn có thể kiếm được nhiều điểm hơn"
"Rule", "Quy tắc"
"Earn","Kiếm"
"My Reward Points","Kpoint"
"View more","Xem thêm"
"%1 Item(s)","%1 Mặt hàng"
"No Transaction Found","Không tìm thấy giao dịch"
"Transaction Id","Id giao dịch"
"Rule ID","ID quy tắc"
"Points Change","Thay đổi điểm"
"Points After","Điểm sau"
"Insertion Date","Ngày thêm"
"Comment","Nhận xét"
"My Referral","Giới thiệu của tôi"
"Add Point","Thêm điểm"
"Save Rule","Lưu quy tắc"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Delete Rule","Xóa quy tắc"
"Edit Rule '%1'","Chỉnh sửa quy tắc '%1'"
"New Rule","Quy tắc mới"
"Set appropriate point action","Đặt hành động điểm thích hợp"
"Number of points (X)","Số điểm (X)"
"Default number of points (Y) for the referred","Số điểm mặc định (Y) cho người được giới thiệu"
"Actions","Hành động"
"Product Restriction (don't add conditions if rule is applied to all products)","Hạn chế sản phẩm (không thêm điều kiện nếu quy tắc được áp dụng cho tất cả các sản phẩm)"
"Customer writes a product review","Khách hàng viết bài đánh giá sản phẩm"
"Customer signs up in store","Khách hàng đăng ký tại cửa hàng"
"Customer subscribes to newsletter","Khách hàng đăng ký nhận bản tin"
"Customer birthday","Sinh nhật khách hàng"
"First Purchase","Lần mua đầu tiên"
"Lifetime Amount","Số tiền trọn đời"
"Customer Gratitude","Tri ân khách hàng"
"Refer A Friend","Giới thiệu Bạn bè"
"Minimum Amount","Số tiền Tối thiểu"
"Customer Number","Số khách hàng"
"Reward Point Program", "Chương trình Điểm thưởng"
"Referral Dashboard", "Nhập link hoặc mã giới thiệu"
"Share your personal invite code", "Chia sẻ mã cá nhân của bạn"
"Have a referral code from a friend? Enter it here.", "Có mã giới thiệu từ bạn bè? Nhập vào đây."
"We couldn't find any records.", "Chúng tôi không thể tìm thấy bất kỳ bản ghi nào."
"You Earn", "Bạn nhận được"
"Apply All", "Áp dụng tất cả"
"Redeem points", "Đổi điểm"
"Points from admin", "Điẻm từ quản trị viên"
"Referral code points", "Điểm mã giới thiệu"
"Deduct received points", "Khấu trừ điểm nhận được"
"Return applied points", "Trả lại điểm đã áp dụng"
"Transaction History", "Lịch sử giao dịch"
"Referred By", "Được giới thiệu bởi"
"Convert From KPoint To KCoin", "Quy đổi từ Kpoint sang Kcoin"
"Invalid request.", "Yêu cầu không hợp lệ."
"Please input value of kpoint to convert", "Vui lòng nhập giá trị của kpoint để chuyển đổi"
"Convert KPoint to KCoin successfully!", "Chuyển đổi Kpoint sang Kcoin thành công!"
"Convert KPoint to KCoin fail. Please try again!", "Chuyển đổi Kpoint sang Kcoin không thành công. Vui lòng thử lại!"
"Something is wrong. Convert Kpoint fail", "Có gì đó không đúng ở đây. Chuyển đổi Kpoint không thành công"
"Query Detail", "Truy vấn chi tiết"
"Convert", "Chuyển đổi"
"Deduct received points", "Khấu trừ điểm nhận được"
"Return applied points", "Trả lại điểm đã áp dụng"
"Convert KPoint To KCoin", "Chuyển đổi từ Kpoint sang Kcoin"
"You don't belong to any Tier", "Bạn không thuộc bất kỳ bậc nào"
"Points Summary", "Tóm tắt điểm Kpoint"
"Beginner", "Sơ cấp"
