"Store Credit", "Ví Kcoin"
"Update Balance Notification", "Thông báo cập nhật số dư"
"You have created no transactions.", "Bạn chưa tạo giao dịch nào."
"My Current Balance","Số dư Kcoin"
"Store Credit", "Kcoin"
"Store Credit is turned off.", "Tính năng Kcoin không khả dụng"
"Saved email settings successfully.", "Đã lưu cài đặt email thành công."
"Something wrong when saving email notifications.", "Đã xảy ra lỗi khi lưu thông báo qua email."
"Transaction Store Credit By Admin For Affiliate", "Giao dịch Kcoin được tạo bởi admin cho CTV"
"Affiliate Admin", "Quản trị viên cho cộng tác viên"
"Transaction Store Credit By Order Invoice For Affiliate", "Giao dịch Kcoin được tạo bởi hóa đơn đơn hàng cho CTV"
"Affiliate Order Invoice", "Hóa đơn đơn hàng cộng tác viên"
"Transaction Store Credit By Order Refund For Affiliate", "Giao dịch Kcoin được tạo bởi hoàn trả đơn hàng cho CTV"
"Affiliate Order Refund", "Hoàn trả đơn hàng cộng tác viên"
"Transaction Store Credit By Withdraw Create For Affiliate", "Giao dịch Kcoin được tạo bởi rút tiền cho CTV"
"Affiliate Withdraw Create", "Cộng tác viên rút tiền"
"Earn credit from order #%1", "Kiếm Kcoin từ đơn hàng #%1"
"Earn from Order", "Kiếm từ đơn hàng"
"Take back credit spent on refunded order #%1", "Nhận lại tín dụng đã chi cho đơn đặt hàng đã được hoàn tiền #% 1"
"Taken back for refunding Order", "Đã nhận lại để hoàn lại tiền cho Đơn đặt hàng"
"Retrieve credit spent on refunded order #%1", "Nhận tín dụng đã chi tiêu cho đơn đặt hàng đã được hoàn tiền #% 1"
"Regain for refunding Order", "Lấy lại để hoàn lại tiền cho Đơn đặt hàng"
"Updated by Admin", "Cập nhật bởi quản trị viên"
"Admin Updated", "Quản trị viên đã cập nhật"
"Convert From Kpoint To Kcoin", "Chuyển đổi từ Kpoint sang Kcoin"
"Convert Kpoint Kcoin", "Chuyển đổi Kpoint Kcoin"
"Reverted from order #%1", "Đã hoàn nguyên từ đơn đặt hàng #%1"
"Reverted", "Hoàn nguyên"
"Amount is not allowed", "Số tiền không được phép"
"Store Credit", "Kcoin"
"Allow Credit Range", "Cho phép phạm vi Kcoin"
"Price Percentage", "Tỷ lệ giá tiền"
"No", "Không"
"Fixed Amount (exclude Tax)", "Giá tiền cố định (Ngoại trừ thuế)"
"Percent of Subtotal (exclude Tax)", "Tỷ lệ của tổng đơn hàng (Ngoại trừ thuế)"
"Spend your Store Credit", "Sử dụng Kcoin cho đơn hàng"
"Store Credit Score", "Điểm Kcoin"
